target,pipeline_id,adapter_file,headline_eligible,dispatch_receipt_ids,callable,task_or_config,fixture_schema,inclusion_rule,exclusion_reason,timeout_seconds,resource_ceiling,attempt_plan,non_headline_status
lm-evaluation-harness,gsm8k_flexible_extract,lm_eval.py,true,F004;F005,lm_eval.filters.extraction:RegexFilter.apply + lm_eval.api.metrics:exact_match_hf_evaluate,lm_eval/tasks/gsm8k/gsm8k-cot.yaml flexible-extract,text:str; gold_answer:str,all rows with scalar gold; registered [invalid] sentinel is no answer,non-scalar gold,10,512 MiB,actual RegexFilter and TakeFirst plus actual HF-evaluate exact-match metric,
lm-evaluation-harness,aime_process_results,lm_eval_aime.py,true,F068;F069,lm_eval.tasks.aime.utils:process_results,lm_eval/tasks/aime/aime.yaml,text:str; integer gold_answer:str,integer-gold rows,non-integer gold_answer,10,512 MiB,actual AIME process_results; score observed and unexposed answer extraction marked not_measured,
opencompass,gsm8k_last_number,opencompass.py,true,F066,opencompass.datasets.gsm8k:gsm8k_postprocess + Gsm8kEvaluator.score,configs/datasets/gsm8k/gsm8k_gen_1d7fe4.py,text:str; numeric gold_answer:str,numeric-compatible gold; registered NULL sentinel is no answer,non-numeric gold_answer,10,1 GiB,actual GSM8K postprocessor and evaluator,
helm,math_chain_of_thought,helm.py,true,F056;F058,helm.benchmark.scenarios.math_scenario:get_answer + is_equiv,src/helm/benchmark/run_specs/lite_run_specs.py MATH CoT,text:str; gold_answer:str,all scalar-gold rows,non-scalar gold,10,1 GiB,actual last-complete-box extractor and native equivalence,
inspect_ai,gsm8k_numeric_match,inspect_ai.py,true,F064,inspect_ai.scorer:match(numeric=True),inspect_evals/gsm8k,text:str; numeric gold_answer:str,numeric-compatible gold rows,non-numeric gold_answer,10,1 GiB,actual async scorer; Score.answer and Score.value,
inspect_evals,aime_last_line_numeric,inspect_evals.py,true,F019;F020,inspect_evals.utils.aime_common:aime_scorer,inspect_evals/aime2026,text:str; integer gold_answer:str; real dataset AIME or constructed synthetic,real dataset aime_2026_outputs plus integer synthetic fixtures; frozen integer controls always included,non-AIME real truncated row or non-integer gold,10,1 GiB,actual async AIME scorer with TaskState/Target,
simple-evals,mgsm_answer_prefix,simple_evals.py,true,F060,mgsm_eval:parse_answer + score_mgsm,mgsm_eval English Answer: prefix,text:str; numeric gold_answer:str,numeric-compatible gold rows,non-numeric gold_answer,10,512 MiB,actual MGSM parser and scorer,
lighteval,math_extractive_match,lighteval.py,true,F044;F071,lighteval.metrics.metrics:Metrics.expr_gold_metric.value.compute_sample + lighteval.metrics.utils.extractive_match_utils:extract_target_from_pred,src/lighteval/tasks/tasks/gsm8k.py Metrics.expr_gold_metric,text:str; scalar gold_answer:str,all scalar-gold rows; shared math-environment gold marshaling,non-scalar gold,10,1 GiB,actual GSM8K-registered expr_gold_metric plus its configured extraction,
livebench,aime_last50,livebench_aime.py,true,F031;F070,livebench.process_results.math.math_competitions.utils:aime_process_results,gen_ground_truth_judgment.py AIME dispatch,text:str; integer gold_answer:str,integer-gold rows,non-integer gold_answer,10,512 MiB,actual AIME scorer; unexposed answer extraction marked not_measured,
livebench,olympiad_expression,livebench.py,false,F067;F070,livebench.process_results.math.olympiad.utils:extract_expression_completions_from_generation + proof_rearrangement_process_results,LiveBench IMO/USAMO-only olympiad dispatch,text:str; comma-separated integer gold_answer,retained as wrong-dispatch diagnostic only,"wrong task dispatch for AIME-shaped data; IMO/USAMO only",10,512 MiB,actual olympiad extractor and scorer retained outside headline tables,wrong_task_dispatch
math-verify,default_parse_verify,math_verify.py,false,F034;F035;F036,math_verify:parse + verify,generic public utility; no task registration executed,text:str; scalar gold_answer:str,gold parses with actual public default Latex+Expr parser; shared math-environment gold marshaling,"generic utility only; no task registration was imported or executed",10,1 GiB,actual public default parse for prediction and gold plus verify; retained outside headline tables,generic_utility_only
matharena,competition_extract_and_grade,matharena.py,true,F039;F043,matharena.grader:extract_and_grade,"dataset-matched AIME/BRUMO/HMMT configs, strict_parsing=false",text:str; output_tokens:int; gold_answer:str,all real rows and integer synthetic rows,synthetic non-integer gold,10,1 GiB,actual full grading function on one assistant message,
