finding_id,target,category,claim,repository,sha,path,line_start,line_end,permalink,quote,status
F001,lm-evaluation-harness,default_cap,Global generation default is 256 tokens and default_gen_kwargs propagates it.,EleutherAI/lm-evaluation-harness,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,lm_eval/defaults.py,5,6,https://github.com/EleutherAI/lm-evaluation-harness/blob/f4d4b3de3ee6741a7151a9fe74945ee515262f4c/lm_eval/defaults.py#L5-L6,"DEFAULT_MAX_LENGTH = 2048
DEFAULT_MAX_GEN_TOKS = 256
",verified
F002,lm-evaluation-harness,default_cap_resolution,Default generation kwargs place the cap in max_gen_toks.,EleutherAI/lm-evaluation-harness,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,lm_eval/defaults.py,38,46,https://github.com/EleutherAI/lm-evaluation-harness/blob/f4d4b3de3ee6741a7151a9fe74945ee515262f4c/lm_eval/defaults.py#L38-L46,"def default_gen_kwargs(
    until: str | list[str] | None, max_gen_toks: int = DEFAULT_MAX_GEN_TOKS
) -> dict[str, Any]:
    """"""Returns default generation kwargs for LM evaluation.""""""
    _gen = {
        ""temperature"": 0.0,
        ""do_sample"": False,
        ""max_gen_toks"": max_gen_toks,
    }
",verified
F003,lm-evaluation-harness,task_cap_inheritance,GSM8K CoT omits max_gen_toks and therefore inherits the default through task resolution.,EleutherAI/lm-evaluation-harness,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,lm_eval/tasks/gsm8k/gsm8k-cot.yaml,58,63,https://github.com/EleutherAI/lm-evaluation-harness/blob/f4d4b3de3ee6741a7151a9fe74945ee515262f4c/lm_eval/tasks/gsm8k/gsm8k-cot.yaml#L58-L63,"generation_kwargs:
  do_sample: false
  until:
  - 'Q:'
  - </s>
  - <|im_end|>
",verified
F004,lm-evaluation-harness,extraction_fallback,GSM8K flexible extraction selects the last regex match with group_select -1.,EleutherAI/lm-evaluation-harness,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,lm_eval/tasks/gsm8k/gsm8k-cot.yaml,46,57,https://github.com/EleutherAI/lm-evaluation-harness/blob/f4d4b3de3ee6741a7151a9fe74945ee515262f4c/lm_eval/tasks/gsm8k/gsm8k-cot.yaml#L46-L57,"filter_list:
- filter:
  - function: regex
    regex_pattern: The answer is (\-?[0-9\.\,]+).
  - function: take_first
  name: strict-match
- filter:
  - function: regex
    group_select: -1
    regex_pattern: (-?[$0-9.,]{2,})|(-?[0-9]+)
  - function: take_first
  name: flexible-extract
",verified
F005,lm-evaluation-harness,extraction_call,"RegexFilter executes findall, indexed selection, tuple collapse, and fallback.",EleutherAI/lm-evaluation-harness,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,lm_eval/filters/extraction.py,39,58,https://github.com/EleutherAI/lm-evaluation-harness/blob/f4d4b3de3ee6741a7151a9fe74945ee515262f4c/lm_eval/filters/extraction.py#L39-L58,"    def apply(
        self, resps: Iterable[Sequence[str]], docs: Sequence[dict[str, Any]]
    ) -> Iterable[list[str]]:
        def filter_set(inst: Sequence[str]) -> list[str]:
            filtered = []
            for resp in inst:
                if not isinstance(resp, str):
                    resp = """"
                match = self.regex.findall(resp)
                if match:
                    match = match[self.group_select]
                    if isinstance(match, tuple):
                        match = [m for m in match if m]
                        if match:
                            match = match[0]
                        else:
                            match = self.fallback
                    match = match.strip()
                else:
                    match = self.fallback
",verified
F006,opencompass,default_cap,LiteLLM adapter generation defaults max_out_len to 512.,open-compass/opencompass,96263b1a16899260586c8e945eea06934c43c225,opencompass/models/litellm_api.py,106,118,https://github.com/open-compass/opencompass/blob/96263b1a16899260586c8e945eea06934c43c225/opencompass/models/litellm_api.py#L106-L118,"    def generate(
        self,
        inputs: List[PromptType],
        max_out_len: int = 512,
        **gen_kwargs,
    ) -> List[str]:
        """"""Generate responses for a batch of inputs.

        Args:
            inputs: list of strings or ``PromptList`` messages.
            max_out_len: max output tokens per response. Defaults to 512.
            **gen_kwargs: extra per-call generation kwargs forwarded to
                LiteLLM, except core request fields managed by this wrapper.
",verified
F007,opencompass,default_cap_resolution,LiteLLM adapter sends max_out_len as max_tokens.,open-compass/opencompass,96263b1a16899260586c8e945eea06934c43c225,opencompass/models/litellm_api.py,234,241,https://github.com/open-compass/opencompass/blob/96263b1a16899260586c8e945eea06934c43c225/opencompass/models/litellm_api.py#L234-L241,"        call_kwargs: Dict = {
            **safe_extra_body,
            **safe_gen_kwargs,
            'model': self.path,
            'messages': messages,
            'max_tokens': max_out_len,
            'drop_params': True,
        }
",verified
F008,opencompass,extraction,MATH postprocessor prefers boxed output then final-answer segments then the first period-delimited segment.,open-compass/opencompass,96263b1a16899260586c8e945eea06934c43c225,opencompass/datasets/math.py,190,201,https://github.com/open-compass/opencompass/blob/96263b1a16899260586c8e945eea06934c43c225/opencompass/datasets/math.py#L190-L201,"@TEXT_POSTPROCESSORS.register_module('math_postprocess_v2')
def math_postprocess_v2(text: str) -> str:

    cand_ans = extract_boxed_answer(text, strip_double_curly_brace=True)
    if cand_ans:
        return cand_ans

    for maybe_ans in text.split('.'):
        # if 'final answer' in maybe_ans.lower():
        if re.search('final answer|answer is', maybe_ans.lower()):
            return normalize_final_answer(maybe_ans)
    return normalize_final_answer(text.split('.')[0])
",verified
F009,opencompass,extraction_incomplete,Boxed extraction returns None for an unmatched closing brace.,open-compass/opencompass,96263b1a16899260586c8e945eea06934c43c225,opencompass/datasets/math.py,16,41,https://github.com/open-compass/opencompass/blob/96263b1a16899260586c8e945eea06934c43c225/opencompass/datasets/math.py#L16-L41,"def last_boxed_only_string(string):
    idx = string.rfind('\\boxed')
    if idx < 0:
        idx = string.rfind('\\fbox')
        if idx < 0:
            return None

    i = idx
    right_brace_idx = None
    num_left_braces_open = 0
    while i < len(string):
        if string[i] == '{':
            num_left_braces_open += 1
        if string[i] == '}':
            num_left_braces_open -= 1
            if num_left_braces_open == 0:
                right_brace_idx = i
                break
        i += 1

    if right_brace_idx is None:
        retval = None
    else:
        retval = string[idx:right_brace_idx + 1]

    return retval
",verified
F010,opencompass,truncation_capture,Streaming OpenAI adapter captures and logs finish_reason.,open-compass/opencompass,96263b1a16899260586c8e945eea06934c43c225,opencompass/models/openai_streaming.py,257,267,https://github.com/open-compass/opencompass/blob/96263b1a16899260586c8e945eea06934c43c225/opencompass/models/openai_streaming.py#L257-L267,"                # Check if streaming is finished
                if chunk.choices[0].finish_reason is not None:
                    finish_reason = chunk.choices[0].finish_reason
                    if self.verbose:
                        print()  # Add newline after streaming complete
                        elapsed = current_time - start_time
                        log_with_thread(
                            f'Streaming finished with reason: '
                            f'{chunk.choices[0].finish_reason}, '
                            f'chunks: {chunk_count}, elapsed: {elapsed:.1f}s')
                    break
",verified
