item_id,domain,gold,effort,correct(1/0),length(S/M/L),notes
math_0000,math_aime,"237",0.2,,,
math_0000,math_aime,"237",0.6,,,
math_0000,math_aime,"237",0.99,,,
math_0001,math_aime,"504",0.2,,,
math_0001,math_aime,"504",0.6,,,
math_0001,math_aime,"504",0.99,,,
math_0002,math_aime,"468",0.2,,,
math_0002,math_aime,"468",0.6,,,
math_0002,math_aime,"468",0.99,,,
math_0003,math_aime,"240",0.2,,,
math_0003,math_aime,"240",0.6,,,
math_0003,math_aime,"240",0.99,,,
math_0004,math_aime,"77",0.2,,,
math_0004,math_aime,"77",0.6,,,
math_0004,math_aime,"77",0.99,,,
math_0005,math_aime,"104",0.2,,,
math_0005,math_aime,"104",0.6,,,
math_0005,math_aime,"104",0.99,,,
math_0006,math_aime,"81",0.2,,,
math_0006,math_aime,"81",0.6,,,
math_0006,math_aime,"81",0.99,,,
math_0007,math_aime,"70",0.2,,,
math_0007,math_aime,"70",0.6,,,
math_0007,math_aime,"70",0.99,,,
